Sample_ID	Y haplogroup calls
HG02107.SG	E1b1a1a1a
HG02496.SG	E1b1a1a1a
NA19429.SG	E1b1a1a1a
NA20126.SG	E1b1a1a1a
I10832	E1b1a1a1a
I8383	E1b1a1a1a
HG02759.SG	E1b1a1a1c
HG03469.SG	E1b1a1a1c
HG01305.SG	E1b1a1a1c1a
HG02013.SG	E1b1a1a1c1a
HG02255.SG	E1b1a1a1c1a
HG03193.SG	E1b1a1a1c1a
HG03301.SG	E1b1a1a1c1a
HG03565.SG	E1b1a1a1c1a
NA18516.SG	E1b1a1a1c1a
NA18868.SG	E1b1a1a1c1a
NA19121.SG	E1b1a1a1c1a
NA19350.SG	E1b1a1a1c1a
NA19451.SG	E1b1a1a1c1a
I10727	E1b1a1a1c1a
I10741	E1b1a1a1c1a
I10745	E1b1a1a1c1a
S12334.Y1.E1.L1	E1b1a1a1c1a1
I2094	E1b1a1a1c1a1
HG01556.SG	E1b1a1a1c1a1
HG01986.SG	E1b1a1a1c1a1
HG01990.SG	E1b1a1a1c1a1
HG02283.SG	E1b1a1a1c1a1
HG02284.SG	E1b1a1a1c1a1
HG02307.SG	E1b1a1a1c1a1
HG02323.SG	E1b1a1a1c1a1
HG02442.SG	E1b1a1a1c1a1
HG02481.SG	E1b1a1a1c1a1
HG02484.SG	E1b1a1a1c1a1
HG02489.SG	E1b1a1a1c1a1
HG02971.SG	E1b1a1a1c1a1
HG02981.SG	E1b1a1a1c1a1
HG03060.SG	E1b1a1a1c1a1
HG03074.SG	E1b1a1a1c1a1
HG03103.SG	E1b1a1a1c1a1
HG03127.SG	E1b1a1a1c1a1
HG03139.SG	E1b1a1a1c1a1
HG03172.SG	E1b1a1a1c1a1
HG03190.SG	E1b1a1a1c1a1
HG03199.SG	E1b1a1a1c1a1
HG03224.SG	E1b1a1a1c1a1
HG03268.SG	E1b1a1a1c1a1
HG03271.SG	E1b1a1a1c1a1
HG03280.SG	E1b1a1a1c1a1
HG03295.SG	E1b1a1a1c1a1
HG03352.SG	E1b1a1a1c1a1
HG03367.SG	E1b1a1a1c1a1
HG03472.SG	E1b1a1a1c1a1
HG03515.SG	E1b1a1a1c1a1
HG03518.SG	E1b1a1a1c1a1
NA18507.SG	E1b1a1a1c1a1
NA18510.SG	E1b1a1a1c1a1
NA18519.SG	E1b1a1a1c1a1
NA18877.SG	E1b1a1a1c1a1
NA18908.SG	E1b1a1a1c1a1
NA18915.SG	E1b1a1a1c1a1
NA19107.SG	E1b1a1a1c1a1
NA19113.SG	E1b1a1a1c1a1
NA19198.SG	E1b1a1a1c1a1
NA19200.SG	E1b1a1a1c1a1
NA19207.SG	E1b1a1a1c1a1
NA19210.SG	E1b1a1a1c1a1
NA19248.SG	E1b1a1a1c1a1
NA19430.SG	E1b1a1a1c1a1
NA19452.SG	E1b1a1a1c1a1
NA19455.SG	E1b1a1a1c1a1
NA19461.SG	E1b1a1a1c1a1
NA19834.SG	E1b1a1a1c1a1
NA19920.SG	E1b1a1a1c1a1
NA20291.SG	E1b1a1a1c1a1
NA20298.SG	E1b1a1a1c1a1
S8094.E1.L1	E1b1a1a1c1a1c
HG02947.SG	E1b1a1a1c1a1c
HG02977.SG	E1b1a1a1c1a1c
HG03109.SG	E1b1a1a1c1a1c
HG03160.SG	E1b1a1a1c1a1c
HG03175.SG	E1b1a1a1c1a1c
NA18917.SG	E1b1a1a1c1a1c
NA19026.SG	E1b1a1a1c1a1c
NA19027.SG	E1b1a1a1c1a1c
NA19028.SG	E1b1a1a1c1a1c
NA19092.SG	E1b1a1a1c1a1c
NA19117.SG	E1b1a1a1c1a1c
NA19171.SG	E1b1a1a1c1a1c
NA19213.SG	E1b1a1a1c1a1c
NA19223.SG	E1b1a1a1c1a1c
NA19307.SG	E1b1a1a1c1a1c
NA19308.SG	E1b1a1a1c1a1c
NA19312.SG	E1b1a1a1c1a1c
NA19317.SG	E1b1a1a1c1a1c
NA19318.SG	E1b1a1a1c1a1c
NA19319.SG	E1b1a1a1c1a1c
NA19347.SG	E1b1a1a1c1a1c
NA19360.SG	E1b1a1a1c1a1c
NA19372.SG	E1b1a1a1c1a1c
NA19376.SG	E1b1a1a1c1a1c
NA19383.SG	E1b1a1a1c1a1c
NA19385.SG	E1b1a1a1c1a1c
NA19393.SG	E1b1a1a1c1a1c
NA19394.SG	E1b1a1a1c1a1c
NA19428.SG	E1b1a1a1c1a1c
NA19443.SG	E1b1a1a1c1a1c
NA19466.SG	E1b1a1a1c1a1c
NA19908.SG	E1b1a1a1c1a1c
NA20281.SG	E1b1a1a1c1a1c
I10716	E1b1a1a1c1a1c
I10739	E1b1a1a1c1a1c
I8384	E1b1a1a1c1a1c
I8992	E1b1a1a1c1a1c
NA19041.SG	E1b1a1a1c1a1c1
NA19031.SG	E1b1a1a1c1a1c1a
HG02944.SG	E1b1a1a1c1a1d
HG03196.SG	E1b1a1a1c1a1d
HG03370.SG	E1b1a1a1c1a1d
NA18504.SG	E1b1a1a1c1a1d
NA19146.SG	E1b1a1a1c1a1d
NA19904.SG	E1b1a1a1c1a1d
HG01302.SG	E1b1a1a1c1b
HG02009.SG	E1b1a1a1c1b
HG02334.SG	E1b1a1a1c1b
HG02429.SG	E1b1a1a1c1b
HG02854.SG	E1b1a1a1c1b
HG03077.SG	E1b1a1a1c1b
