Sample_ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
CAM-POL-164	0.0088	-0.1722	-0.2392	-0.1297	-0.194	0.2775	-0.0395	0.0085	-0.0647	-0.0623
CAM-POL-185	0.0083	-0.1726	-0.2485	-0.1228	-0.1933	0.2817	-0.0459	0.0072	-0.0769	-0.0638
CAM-PYKL-001	0.0085	-0.1837	-0.2568	-0.1537	-0.2072	0.2969	-0.0469	0.0101	-0.0742	-0.0638
CAM-PYKL-004	0.0083	-0.183	-0.2547	-0.145	-0.2062	0.2983	-0.0593	0.0123	-0.0775	-0.0735
CAM-PYKL-005	0.0084	-0.1847	-0.2526	-0.1458	-0.2068	0.2928	-0.0499	0.0173	-0.075	-0.0829
CAM-PYKL-007	0.0083	-0.1796	-0.2564	-0.1413	-0.2074	0.2916	-0.0434	0.0122	-0.0786	-0.0786
CAM-PYKL-009	0.0081	-0.1802	-0.2529	-0.1329	-0.1958	0.2909	-0.0409	0.0171	-0.0817	-0.0726
CAM-PYKL-023	0.0086	-0.1825	-0.2552	-0.1433	-0.2062	0.29	-0.0445	0.016	-0.0761	-0.0631
CAM-PYKL-026	0.0081	-0.1861	-0.26	-0.1505	-0.211	0.3008	-0.0608	0.0136	-0.0715	-0.0714
CAM-PYKL-027	0.008	-0.1856	-0.2638	-0.135	-0.2081	0.3047	-0.0519	0.0085	-0.0817	-0.0713
CAM-PYKL-029	0.0084	-0.1846	-0.2558	-0.1566	-0.2098	0.298	-0.0507	0.0177	-0.0853	-0.07
CAM-PYKL-030	0.0087	-0.1828	-0.2562	-0.1481	-0.2094	0.3004	-0.0611	0.0133	-0.0724	-0.0712
CAM-PYKL-031	0.0076	-0.1819	-0.2526	-0.1415	-0.2004	0.2866	-0.0716	-0.0007	-0.0652	-0.0669
CAM-PYKL-033	0.0085	-0.1836	-0.2554	-0.1438	-0.205	0.3028	-0.0581	0.0081	-0.0698	-0.077
CAM-PYKL-034	0.0087	-0.1859	-0.2619	-0.1406	-0.2065	0.3005	-0.0309	0.0164	-0.067	-0.0714
CAM-PYKL-035	0.0088	-0.1839	-0.2587	-0.1418	-0.2023	0.2958	-0.0361	0.0109	-0.0678	-0.0695
CAM-PYKL-036	0.0087	-0.1804	-0.255	-0.1395	-0.2015	0.2983	-0.0358	0.0146	-0.0786	-0.0759
CAM-PYKL-037	0.0076	-0.1819	-0.2558	-0.1495	-0.2003	0.2957	-0.0401	0.0207	-0.0776	-0.0732
CAM-PYKL-040	0.0085	-0.1846	-0.2553	-0.1518	-0.2067	0.2981	-0.0533	0.0148	-0.082	-0.0701
CAM-PYKL-042	0.0083	-0.1827	-0.2624	-0.133	-0.2038	0.2906	-0.0375	0.0078	-0.0792	-0.07
CAM-PYKL-053	0.0082	-0.1838	-0.2594	-0.1458	-0.2026	0.303	-0.0521	0.0082	-0.0667	-0.0758
CAM-PYKL-054	0.0081	-0.1824	-0.2578	-0.1381	-0.2021	0.2921	-0.0343	0.0188	-0.0858	-0.0694
